skill,rule_file,missing_sections
mongodb-schema-design,antipattern-schema-drift.md,When_NOT_to_use
mongodb-schema-design,fundamental-16mb-awareness.md,Incorrect|When_NOT_to_use
mongodb-schema-design,pattern-outlier.md,Incorrect
mongodb-query-and-index-optimize,agg-lookup-index.md,When_NOT_to_use
mongodb-query-and-index-optimize,agg-match-early.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-covered-queries.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-creation-background.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-ensure-usage.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-high-cardinality-first.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-prefix-principle.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-remove-unused.md,When_NOT_to_use
mongodb-query-and-index-optimize,index-size-considerations.md,When_NOT_to_use|Verify_with
mongodb-query-and-index-optimize,perf-explain-interpretation.md,Incorrect|Correct|When_NOT_to_use|Verify_with
mongodb-query-and-index-optimize,perf-index-stats.md,Incorrect|Correct|When_NOT_to_use|Verify_with
mongodb-query-and-index-optimize,perf-query-plan-cache.md,Incorrect|Correct|When_NOT_to_use
mongodb-query-and-index-optimize,perf-query-settings.md,Verify_with
mongodb-query-and-index-optimize,perf-query-stats.md,Verify_with
mongodb-query-and-index-optimize,perf-slow-query-log.md,Verify_with
mongodb-query-and-index-optimize,query-anchored-regex.md,When_NOT_to_use
mongodb-query-and-index-optimize,query-avoid-ne-nin.md,When_NOT_to_use
mongodb-query-and-index-optimize,query-batch-operations.md,When_NOT_to_use
mongodb-query-and-index-optimize,query-bulkwrite-command.md,Verify_with
mongodb-query-and-index-optimize,query-exists-with-sparse.md,When_NOT_to_use
mongodb-query-and-index-optimize,query-or-index.md,When_NOT_to_use
mongodb-query-and-index-optimize,query-updateone-sort.md,Verify_with
mongodb-ai,agent-memory-retrieval.md,Verify_with
mongodb-ai,agent-memory-schema.md,Verify_with
mongodb-ai,agent-session-context.md,Verify_with
mongodb-ai,hybrid-limitations.md,Verify_with
mongodb-ai,hybrid-rankfusion.md,Verify_with
mongodb-ai,hybrid-scorefusion.md,Verify_with
mongodb-ai,hybrid-weights.md,Verify_with
mongodb-ai,index-automated-embedding.md,Verify_with
mongodb-ai,index-dimensions-match.md,Verify_with
mongodb-ai,index-filter-fields.md,Verify_with
mongodb-ai,index-hnsw-options.md,Verify_with
mongodb-ai,index-multitenant.md,Verify_with
mongodb-ai,index-quantization.md,Verify_with
mongodb-ai,index-similarity-function.md,Verify_with
mongodb-ai,index-vector-definition.md,Verify_with
mongodb-ai,index-views-partial.md,Verify_with
mongodb-ai,perf-explain-vectorsearch.md,Verify_with
mongodb-ai,perf-index-in-memory.md,Verify_with
mongodb-ai,perf-numcandidates-tradeoff.md,Verify_with
mongodb-ai,perf-prefilter-narrow.md,Verify_with
mongodb-ai,perf-quantization-scale.md,Verify_with
mongodb-ai,perf-search-nodes.md,Verify_with
mongodb-ai,query-ann-vs-enn.md,Verify_with
mongodb-ai,query-get-scores.md,Verify_with
mongodb-ai,query-lexical-prefilter.md,Verify_with
mongodb-ai,query-numcandidates-tuning.md,Verify_with
mongodb-ai,query-prefiltering.md,Verify_with
mongodb-ai,query-same-embedding-model.md,Verify_with
mongodb-ai,query-vectorsearch-first.md,Verify_with
mongodb-ai,rag-context-window.md,Verify_with
mongodb-ai,rag-ingestion-pattern.md,Verify_with
mongodb-ai,rag-metadata-filtering.md,Verify_with
mongodb-ai,rag-retrieval-pattern.md,Verify_with
