source_url,area,claim_verified,checked_at_utc
https://www.mongodb.com/docs/manual/release-notes/8.2/,release-line,8.2 patch line remains current and includes patch release entries through 8.2.5,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/atlas/atlas-vector-search/vector-search-type/,mongodb-ai,Self-managed automated embedding path remains Preview and uses autoEmbed syntax for indexing,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/atlas/atlas-vector-search/crud-embeddings/create-embeddings-automatic/,mongodb-ai,Community 8.2+ automated embedding tutorial documents autoEmbed plus query.text semantics,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/atlas/atlas-vector-search/automated-embedding/,mongodb-ai,Atlas private-preview automated embedding track maintains M10+ and GCP-inference constraints,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/operator/aggregation/queryStats/,query-index,queryStats docs retain 8.2 CPU and delinquency metric coverage,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/command/setQuerySettings/,query-index,setQuerySettings docs retain 8.1 and 8.0.4+ comment availability notes,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/operator/aggregation/rankFusion/,mongodb-ai,rankFusion stage remains available starting in 8.0+,2026-02-10T00:00:00Z
https://www.mongodb.com/docs/manual/reference/operator/aggregation/scoreFusion/,mongodb-ai,scoreFusion stage remains available starting in 8.2+,2026-02-10T00:00:00Z
https://agentskills.io/specification,agent-skills,SKILL.md format and progressive resource patterns remain current reference for skill design hygiene,2026-02-10T00:00:00Z
https://agentskills.io/integrate-skills,agent-skills,Integration docs remain current reference for deployment and loading patterns,2026-02-10T00:00:00Z
